,EMG_a,EMG_b,EMG_c,EMG_d,EMG_e,EMG_g,EMG_h,EMG_i,labelrock,labelpaper,labelscissors,labelok,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2019-06-06 12:06:05.000,1.6995919956796706,0.3000049635492098,0.15013278874370392,0.2999885283908815,0.3753709639003049,0.47547223759717133,5.200756559230055,2.32471409948844,1,0,0,0,-0.19833953304696517,0.1065356572094632,-0.5624716033219287,-0.502716831699351,0.07060986707960426,-0.0860090047559938,-0.1213588687292797
2019-06-06 12:06:05.200,1.0926017016047136,0.6417673740184984,0.7489563901747286,1.2549115349599989,1.0019266105077238,0.7679905312282506,5.400013701661179,2.550371805099546,1,0,0,0,-0.006530703811309201,0.5454439748503834,-0.08831500620689105,-0.2650049717579611,-0.24780050219223188,-0.12236119812795876,-0.05987570074206777
2019-06-06 12:06:05.400,1.1534867846014885,0.5872740549572656,0.7284024728036194,1.5316815618756825,0.7464550994091784,0.69300648679898,7.570411615024755,2.2426458103805063,1,0,0,0,-0.11129293055859378,0.667119402977519,-0.12108321131664396,-0.2451291009172353,-0.3251746538228833,0.006958493996424064,0.07685880830587083
2019-06-06 12:06:05.600,1.2193939765396737,0.6711123956145989,0.663820105864975,1.3109194831967828,0.34886924973850375,0.36970188441060275,8.272034284201016,1.1331013267146697,1,0,0,0,-0.2578055291086317,0.4855666399863377,-0.14017311482272246,-0.211605752534051,-0.19361202447435025,0.17369626092829388,0.2728011276676465
2019-06-06 12:06:05.800,0.7214342975721212,0.972171450014317,0.9358336775431964,0.9238572351704291,0.5211487626929703,0.2391560380969306,6.585189865706849,0.5188203952490205,1,0,0,0,-0.20495354540396693,0.2955953820494392,0.05852977195231049,-0.12128635415159544,-0.06336792901685544,0.08818833236476745,0.3826118331465535
2019-06-06 12:06:06.000,0.1933064248758147,0.8885078125522751,0.9978334187974085,0.5532036821800739,0.7558514945797509,0.3850628193942875,5.1684269129485445,1.1348346464457228,1,0,0,0,-0.1125050638633662,0.1941770854970078,0.02595874394102804,-0.16485122584467563,-0.05123821021272201,-0.16639161612747683,0.30147327477424374
2019-06-06 12:06:06.200,0.2681658444681323,0.697697505624401,0.7706207977154018,0.5770632323065843,0.6604239394477787,0.43102371929297517,3.454249048343941,1.2234059894179534,1,0,0,0,-0.10426774308175663,0.053797459839555806,-0.05013030876249712,-0.16001682653968796,-0.07152604581015952,-0.15428065847296274,0.14326381469306676
2019-06-06 12:06:06.400,0.9338175279781402,0.9779738110869328,0.7990094842493582,0.8799198666203855,0.5509549750832304,0.3144841989945196,1.5742359168456754,0.3219386957051863,1,0,0,0,-0.10950532492166426,-0.0010986171567398118,0.15214032167663166,0.004328883853225402,0.002462165234297802,0.11376740536434721,0.07784981060127047
2019-06-06 12:06:06.600,1.4806294195171132,1.1381189132166276,0.9836541155180029,0.7506467127227776,0.6115108495518636,0.44503974538740876,2.6972311066577963,0.6435505255091941,1,0,0,0,-0.09654852724987183,0.17502933979022042,0.14324865059331615,-0.033052129613283125,0.09438779800072453,0.11423000541984732,0.08128297808413663
2019-06-06 12:06:06.800,1.062161225598554,0.7088063241691628,0.8948511373686102,0.34521926627047783,0.7104215506346927,0.7420687735587195,4.722332319466052,2.0210874218442236,1,0,0,0,-0.07570625033785708,0.2667015471341806,-0.18189924381581585,-0.25756842362181576,0.024512505158512176,-0.19539912757608108,0.059260121969942736
